Philippines,49.697
Niue,71.075
"Viet Nam",73.914
Fiji,68.302
Nauru,67.971
"Republic of Korea",84.861
"Cook Islands",71.908
"New Zealand",80.276
Japan,78.667
"French Polynesia",58.537
"Brunei Darussalam",91.979
Vanuatu,22.559
"Pitcairn Islands",74
Mongolia,66.128
Singapore,80.785
Kiribati,33.934
Palau,91.842
Tokelau,71.704
China,83.272
"Marshall Islands",39.043
Cambodia,82.01
"American Samoa",65.016
Samoa,62.229
"Lao People's Democratic Republic",52.715
"Papua New Guinea",2.548
Australia,78.513
Tonga,60.25
"Micronesia (Federated States of)",37.933
Malaysia,78.6
"New Caledonia",61.68
Tuvalu,49.898
"Solomon Islands",10.331
"Wallis and Futuna",54.562
"Northern Mariana Islands (Commonwealth of the)",76.232
Guam,76.129
