Philippines,0.516
Malaysia,0.306
Japan,0.058
"Viet Nam",1.14
Australia,1.706
"Republic of Korea",0.453
Mongolia,0.244
Singapore,0.085
China,0
"Lao People's Democratic Republic",0.426
Cambodia,0
Fiji,4.239
"French Polynesia",0
"Papua New Guinea",0.011
Guam,1.185
"Brunei Darussalam",0
"New Caledonia",0.35
"New Zealand",0
"Northern Mariana Islands (Commonwealth of the)",1.737
Palau,0
"Wallis and Futuna",0
"Solomon Islands",0
Kiribati,0
"American Samoa",0
Samoa,0
Vanuatu,0
"Marshall Islands",0
Tonga,0
"Cook Islands",0
"Micronesia (Federated States of)",0
Nauru,0
Niue,0
"Pitcairn Islands",0
Tokelau,0
Tuvalu,0
